date;BEN;CO;MXIL;NO2;NO;O3;PM2_5;SO2;TOL
2019-02-26;;;;2.8504740341067496;;;2.2664267072268185;2.024510011563114;
2019-02-27;;;;2.7404833564584226;;;2.363842552243664;;
2019-02-28;;;;2.084412201753262;;;;;
2019-03-04;;;;;;2.041790149778437;;;
2019-04-30;;2.3863861515075753;;;;;;;
2019-05-05;;;;;;2.084849224689441;;;
2019-05-14;;2.289056707716976;;;;;;;
2019-05-15;;3.1650217018323668;;;;;;2.0705135996128066;
2019-06-07;;;;;;2.058100405426545;;;
2019-07-12;;;;;;2.256433114107534;;;
2019-07-28;;;;;;;;3.2666068889048185;
2019-07-30;;;;;;;;2.3446949843889753;
2019-07-31;;;;;;;;3.925378269776419;
2019-08-05;;;;;;;;2.0079487198652237;
2019-08-24;;;;;;2.2616523959149286;;;
2019-10-26;;2.435050873402874;;;;;;;2.374299020208004
2019-10-27;;2.0457330982404787;;;;;;;
2019-10-28;;2.1917272639263774;;;;;;;
2019-10-29;;;2.056037454553369;;;;;;
2019-11-03;;;;;;2.114860095081959;;;
2019-11-20;;;;;;;;2.666720100736825;
2019-11-21;;;;;;;;4.223481520338428;
2019-11-25;;;;;2.386895389482277;;;;
2019-12-04;;;3.7999842385762124;;2.109057901238935;;;;
2019-12-05;2.1243088454340455;;2.630263834658452;;2.7420724358565156;;2.263757779966083;2.1128369006185235;2.4867142368595974
2019-12-06;;;2.773820429684722;;;;;;
2019-12-10;2.2512397578294383;;2.396319753874899;;3.877469142198316;;;2.155160201624241;3.8148792039654627
2019-12-14;;;;2.3531922379783987;2.059014657742473;;;;2.024562790625268
2019-12-20;;;;2.21454201756255;;;;;
2019-12-23;;;;2.2858035833628745;2.8077135734297967;;;;2.5408400819140686
2019-12-24;2.2875057327995507;;;;3.1326697000301977;;;;2.3368272813241395
2019-12-25;3.121623157112134;;2.3325168227521123;;3.511893499772865;;;;2.7365258294186945
2019-12-26;;;;;2.1824979858506253;;;;
2019-12-27;;;;;2.595192266633134;;2.0635882354109207;;
2019-12-28;3.647479794178763;;3.629843088915447;;5.013515760793318;;3.5608564286835342;;3.7774074650815983
2019-12-29;3.484282906813257;;3.2044902147635344;;4.768173885210015;;3.3473422478246952;;3.440161815126818
2019-12-30;3.7925436940592125;2.1917272639263774;4.884634067663591;2.9186372709592336;8.718015604037888;;4.140013644263138;;4.4352446588205545
2019-12-31;;;3.039665976029668;;;;2.1343148078204117;;
2020-01-02;;;;;2.560097004960291;;2.534653896930736;;
2020-01-03;2.6501654825006735;;4.315724598485407;;3.7949302860418146;;3.068439349077835;;2.465896604146339
2020-01-06;;;;;2.3001321036799705;;2.534653896930736;;
2020-01-07;2.2875057327995507;;3.1087858180793537;;4.2823644759424155;;2.4012075338939614;;2.382626073293307
2020-01-08;2.5413675575903363;;4.214703290874328;2.1920791326907088;3.924912736681975;;2.2677611708571863;2.1772419238880936;3.3485642311884827
2020-01-11;;;;;2.0401672023996498;;;;
2020-01-13;2.777096394896067;;3.4862864938891764;2.2695373563867136;4.672311827862897;;2.8015466230042856;5.12147155906843;2.8697586787835463
2020-01-19;;;;;;2.006559997578524;;;
2020-01-29;;;2.109206563822358;;2.787566293580572;;;;2.024562790625268
2020-01-30;;;2.731285142269531;;3.729939060721734;;;;3.6275205095461405
2020-01-31;;;3.2629762349594222;;3.177513645501053;;;;3.527595872522502
2020-02-01;;;2.1995940495796393;;;;;;2.099506268392997
2020-02-02;2.323771707769663;;2.912060113784094;;2.2351408783598905;;;;3.202840802195676
2020-02-03;2.0699098829788767;;3.161954927348343;;3.599956610081574;;2.534653896930736;;3.9939108452994825
2020-02-06;;;2.710017498561935;;2.2351408783598905;;;;
2020-02-12;;;;;;;;2.1772419238880936;
2020-02-13;;;5.464177358695573;;;;;;
2020-02-16;;;2.4335381303631918;;;;;;2.8697586787835463
2020-02-18;;;2.954595401199285;;;;;;
2020-02-24;;;5.0813597719588515;;;;;;
2020-02-28;;;;;;;2.0008684447836367;;
2020-03-20;;2.678374482879372;;;;;;;
2020-03-29;;;;;;2.006559997578524;;;
2020-03-30;;;;;;2.006559997578524;;;
2020-04-02;;;;;;2.2675240879482472;;;
2020-04-03;;;;;;2.332765110540678;;;
2020-04-05;;;;;;2.332765110540678;;;
2020-06-04;;;;;;2.2022830653558163;;;
2020-07-12;;;;;;2.2022830653558163;;;
2020-07-13;;;;;;2.2675240879482472;;;
2020-07-23;;;;;;2.398006133133109;;;
2020-07-24;;;;;;2.8546932912801255;;;
2020-08-14;;;;;;;;2.9132993326831778;
2020-09-04;;;;;2.592592617620331;;;;
2020-09-15;;-2.0421035409646757;;;;;;;
2020-09-24;;2.1917272639263774;;;;;;;
2020-09-25;;2.532380317193473;;;;;;;
2020-09-26;;2.727039204774671;;;;;;;
2020-09-27;;2.970362814251169;;;;;;;
2020-09-28;;2.435050873402874;;;;;;;
2020-09-29;;2.2403919858216765;;;;;;;
2020-09-30;;2.2403919858216765;;;;;;;
