date;BEN;CO;MXIL;NO2;NO;O3;PM2_5;SO2;TOL
2017-11-03;0.64;0.56;0.66;42;41;11;5;8;2.65
2017-11-04;0.52;0.47;0.5;24;27;25;6;7;1.57
2017-11-05;0.4;0.39;0.34;23;10;45;4;6;0.63
2017-11-06;0.72;0.53;0.45;38;43;23;6;11;1.46
2017-11-07;0.58;0.58;0.38;33;36;18;6;13;1.51
2017-11-08;0.7;0.6;0.35;42;30;28;5;7;1.26
2017-11-09;0.68;0.66;0.43;43;32;15;4;14;1.39
2017-11-10;0.67;0.62;0.47;46;28;21;3;8;1.71
2017-11-11;0.48;0.69;0.29;32;22;21;4;11;1.13
2017-11-12;0.38;0.59;0.31;23;13;31;3;10;0.87
2017-11-13;0.56;0.53;0.5;41;43;31;3;7;1.39
2017-11-14;0.62;0.52;0.35;38;50;16;8;6;1.62
2017-11-15;1.21;0.89;0.31;46;115;5;11;14;3.76
2017-11-16;1.4;0.84;1.14;47;121;9;10;13;4.97
2017-11-17;0.86;0.69;0.45;40;38;10;16;24;2.1
2017-11-18;0.89;0.67;0.59;33;57;13;9;9;2.9
2017-11-19;0.94;0.73;0.73;33;58;9;11;13;2.67
2017-11-20;1.52;1.02;0.93;61;151;3;11;24;5.98
2017-11-21;1.09;1.02;0.58;67;167;3;8;23;5.21
2017-11-22;0.79;1.13;0.25;41;74;28;7;25;3.39
2017-11-23;0.79;1.06;1.87;56;106;22;15;14;5.53
2017-11-24;0.49;0.44;0.45;55;27;13;10;5;1.83
2017-11-25;0.15;0.33;0.26;37;13;31;4;5;0.43
2017-11-26;0.39;0.44;0.39;34;29;15;6;7;1.14
2017-11-27;0.43;0.51;0.74;44;52;7;7;15;1.9
2017-11-28;0.32;0.45;0.56;42;39;17;6;12;1.64
2017-11-29;0.32;0.45;0.56;42;39;17;4;13;1.64
2017-11-30;0.21;0.39;0.37;39;26;27;4;10;1.37
2017-12-01;0.23;0.34;0.36;35;20;40;5;8;0.91
2017-12-02;0.32;0.42;0.27;36;17;25;6;11;0.59
2017-12-03;0.44;0.55;0.39;35;24;14;7;14;1.18
2017-12-04;0.57;0.5;0.87;41;64;13;5;9;2.15
2017-12-05;0.78;0.58;1.14;45;105;7;8;7;2.7
2017-12-06;0.93;0.62;1.31;44;69;6;15;10;3.19
2017-12-07;0.83;0.72;1.2;56;85;4;6;17;3.34
2017-12-08;0.16;0.3;0.26;28;10;35;3;7;0.56
2017-12-09;0.27;0.41;0.33;33;22;24;2;9;0.83
2017-12-10;0.15;0.32;0.27;24;13;50;1;7;0.66
2017-12-11;0.17;0.31;0.26;31;19;38;4;8;0.55
2017-12-12;0.33;0.44;0.43;39;38;22;5;10;1.22
2017-12-13;0.44;0.5;0.86;36;44;23;6;17;2.12
2017-12-14;0.2;0.32;0.37;34;24;33;2;7;0.97
2017-12-15;0.19;0.34;0.28;33;18;40;4;8;0.86
2017-12-16;0.27;0.4;0.32;35;17;25;7;8;0.83
2017-12-17;0.5;0.5;0.5;33;31;17;8;15;1.37
2017-12-18;0.49;0.58;0.49;46;56;6;8;26;1.74
2017-12-19;0.51;0.38;0.77;40;49;20;4;5;2.33
2017-12-20;0.66;0.52;0.89;40;77;6;12;9;2.53
2017-12-21;1.02;0.81;1.33;46;118;4;14;16;3.9
2017-12-22;0.7;0.71;1.1;42;94;7;15;15;3.05
2017-12-23;0.86;0.68;0.81;36;81;9;14;10;2.6
2017-12-24;0.88;0.68;0.88;37;76;6;11;12;2.02
2017-12-25;0.48;0.45;0.36;27;33;22;8;11;1.09
2017-12-26;0.32;0.41;1.01;39;45;27;2;11;1.4
2017-12-27;0.22;0.29;0.31;32;16;40;4;8;0.87
2017-12-28;0.45;0.5;0.82;49;44;18;5;9;2.08
2017-12-29;0.72;0.67;1.71;54;76;13;3;11;4.71
2017-12-30;1.39;0.88;2.69;53;133;8;6;18;6.41
2017-12-31;0.32;0.3;0.41;24;27;38;3;7;1.3
2018-01-01;0.29;0.25;0.46;28;15;41;6;6;1.01
2018-01-02;0.25;0.23;0.32;24;12;45;3;8;0.71
2018-01-03;0.26;0.17;0.26;22;13;39;3;6;0.5
2018-01-04;0.54;0.41;0.63;46;45;21;3;14;2.58
2018-01-05;0.29;0.2;0.28;33;13;48;3;6;0.55
2018-01-06;0.33;0.25;0.26;29;10;41;3;9;0.51
2018-01-07;0.41;0.32;0.39;35;15;36;4;6;0.91
2018-01-08;0.72;0.52;0.67;54;66;7;5;14;1.95
2018-01-09;0.64;0.4;0.61;52;63;12;4;11;1.98
2018-01-10;0.72;0.41;0.79;53;77;19;4;7;2.6
2018-01-11;0.4;0.3;0.3;36;14;29;6;13;0.75
2018-01-12;0.99;0.56;9.52;57;89;3;8;8;3.43
2018-01-13;1;0.58;2.61;59;62;3;6;4;2.97
2018-01-14;0.61;0.39;0.98;46;21;6;7;4;1.38
2018-01-15;0.6;0.45;0.61;48;42;9;7;6;1.71
2018-01-16;0.4;0.21;0.4;35;16;19;4;5;0.83
2018-01-17;0.5;0.27;0.66;46;28;22;6;7;1.24
2018-01-18;0.78;0.43;11.57;59;85;10;13;17;2.4
2018-01-19;0.86;0.43;6.61;54;92;16;5;17;2.9
2018-01-20;0.84;0.3;6.7;55;92;29;5;15;2.91
2018-01-21;0.82;0.34;6.8;54;92;28;2;12;2.92
2018-01-22;0.94;0.55;1.68;50;100;6;7;12;3.45
2018-01-23;0.68;0.45;2.26;45;68;3;6;9;2.11
2018-01-24;0.68;0.5;2.26;48;79;4;9;9;2.11
2018-01-25;0.41;0.26;2.85;48;17;14;3;4;0.77
2018-01-26;0.4;0.3;0.33;42;22;27;6;8;0.74
2018-01-27;0.44;0.31;0.46;41;14;26;7;8;0.68
2018-01-28;0.7;0.4;1.14;42;37;14;10;8;1.26
2018-01-29;0.92;0.68;1.72;57;101;5;15;18;2.72
2018-01-30;0.72;0.52;1.05;47;52;8;18;18;1.95
2018-01-31;0.52;0.37;0.38;41;29;13;16;13;1.17
2018-02-01;0.35;0.24;0.73;38;16;40;5;10;1.38
2018-02-02;0.18;0.29;1.07;43;22;36;7;8;1.59
2018-02-03;0.15;0.33;0.4;33;12;40;3;8;1.15
2018-02-04;0.15;0.24;0.31;26;8;49;5;6;0.66
2018-02-05;0.19;0.22;0.6;32;12;37;5;6;1.24
2018-02-06;0.27;0.34;0.72;46;28;24;9;9;1.78
2018-02-07;0.25;0.33;0.46;47;24;29;8;9;1.43
2018-02-08;0.23;0.32;1.25;47;26;30;9;8;1.87
2018-02-09;0.21;0.37;0.96;52;25;28;4;8;2.18
2018-02-10;0.18;0.34;0.88;42;16;30;5;11;1.89
2018-02-11;0.15;0.3;0.61;33;13;35;1;8;1.48
2018-02-12;0.25;0.28;2.36;43;27;39;4;5;2.22
2018-02-13;0.22;0.31;1.1;47;22;30;4;8;2.15
2018-02-14;1.53;0.83;8.22;74;163;14;2;10;13.65
2018-02-15;1;0.79;7.15;63;129;3;5;8;11.35
2018-02-16;0.55;0.52;2.66;38;53;14;8;14;4.91
2018-02-17;0.38;0.28;1.08;36;22;41;3;5;1.64
2018-02-18;0.25;0.32;1.07;38;12;26;5;7;1.83
2018-02-19;0.17;0.24;0.6;41;16;29;3;6;1.51
2018-02-20;0.18;0.22;0.51;40;16;37;3;6;1.26
2018-02-21;0.15;0.18;0.61;33;15;39;2;4;1.34
2018-02-22;0.25;0.29;0.93;45;29;26;9;7;2.03
2018-02-23;0.32;0.32;1.87;44;24;26;14;6;2.17
