date;BEN;zscore_BEN;svm_BEN;fda_BEN;CO;zscore_CO;svm_CO;fda_CO;MXIL;zscore_MXIL;svm_MXIL;fda_MXIL;NO2;zscore_NO2;svm_NO2;fda_NO2;NO;zscore_NO;svm_NO;fda_NO;O3;zscore_O3;svm_O3;fda_O3;PM2_5;zscore_PM2_5;svm_PM2_5;fda_PM2_5;SO2;zscore_SO2;svm_SO2;fda_SO2;TOL;zscore_TOL;svm_TOL;fda_TOL
2017-02-25;0.55;0;0;0;0.28;0;0;0;0.86;0;0;0;31.0;0;0;0;23.0;0;0;0;25.0;0;0;0;17.0;0;0;0;11.0;0;0;1;2.18;0;0;0
2017-02-26;0.6;0;0;0;0.27;0;0;0;0.26;0;0;0;24.0;0;0;0;9.0;0;0;0;27.0;0;0;0;20.0;0;0;0;11.0;0;0;1;1.1;0;0;0
2017-02-27;0.71;0;0;0;0.26;0;0;0;0.55;0;0;0;25.0;0;0;0;20.0;0;0;0;42.0;0;0;0;13.0;0;0;0;8.0;0;0;0;2.15;0;0;0
2017-02-28;0.34;0;0;0;0.2;0;0;0;0.62;0;0;0;27.0;0;0;0;17.0;0;0;0;49.0;0;0;0;11.0;0;0;0;3.0;0;0;0;1.85;0;0;0
2017-03-01;0.51;0;0;0;0.28;0;0;0;1.53;0;0;0;37.0;0;0;0;31.0;0;0;0;23.0;0;0;0;11.0;0;0;0;10.0;0;0;0;2.89;0;0;0
2017-03-02;0.52;0;0;0;0.4;0;0;0;0.8;0;0;0;38.0;0;0;0;24.0;0;0;0;19.0;0;0;0;13.0;0;0;0;11.0;0;0;0;3.05;0;0;0
2017-03-03;0.8;0;0;0;0.27;0;0;0;0.92;0;0;0;34.0;0;0;0;26.0;0;0;0;29.0;0;0;0;12.0;0;0;0;7.0;0;0;0;3.99;0;0;0
2017-03-04;0.3;0;0;0;0.22;0;0;0;0.26;0;0;0;23.0;0;0;0;12.0;0;0;0;49.0;0;0;0;11.0;0;0;0;12.0;0;0;0;0.91;0;0;0
2017-03-05;0.57;0;0;0;0.31;0;0;0;0.76;0;0;0;31.0;0;0;0;15.0;0;0;0;37.0;0;0;0;10.0;0;0;0;8.0;0;0;0;2.37;0;0;0
2017-03-06;0.15;0;0;0;0.15;0;0;0;0.18;0;0;0;14.0;0;0;0;5.0;0;0;0;58.0;0;0;0;13.0;0;0;0;3.0;0;0;0;0.87;0;0;0
2017-03-07;0.58;0;0;0;0.27;0;0;0;1.15;0;0;0;33.0;0;0;0;28.0;0;0;0;27.0;0;0;0;11.0;0;0;0;5.0;0;0;0;2.81;0;0;0
2017-03-08;0.54;0;0;0;0.28;0;0;0;0.87;0;0;0;30.0;0;0;0;26.0;0;0;0;16.0;0;0;0;21.0;0;0;0;10.0;0;0;0;3.29;0;0;0
2017-03-09;0.7;0;0;0;0.68;0;0;0;1.86;0;0;0;41.0;0;0;0;44.0;0;0;0;11.0;0;0;0;24.0;0;0;0;12.0;0;0;0;4.81;0;0;0
2017-03-10;1.16;0;0;0;0.59;0;0;0;2.56;0;0;0;56.0;1;0;0;71.0;0;0;0;15.0;0;0;0;25.0;0;0;0;22.0;1;0;0;6.75;0;0;0
2017-03-11;0.74;0;0;0;0.33;0;0;0;1.01;0;0;0;27.0;0;0;0;21.0;0;0;0;35.0;0;0;0;26.0;0;0;0;11.0;0;0;0;3.56;0;0;0
2017-03-12;0.16;0;0;0;0.16;0;0;0;0.13;0;0;0;13.0;0;0;0;4.0;0;0;0;52.0;0;0;0;14.0;0;0;0;3.0;0;0;0;0.58;0;0;0
2017-03-13;0.34;0;0;0;0.17;0;0;0;0.32;0;0;0;22.0;0;0;0;12.0;0;0;0;49.0;0;0;0;13.0;0;0;0;4.0;0;0;0;1.18;0;0;0
2017-03-14;0.21;0;0;0;0.16;0;0;0;0.18;0;0;0;23.0;0;0;0;12.0;0;0;0;34.0;0;0;0;16.0;0;0;0;6.0;0;0;0;1.15;0;0;0
2017-03-15;0.3;0;0;0;0.18;0;0;0;0.38;0;0;0;25.0;0;0;0;20.0;0;0;0;31.0;0;0;0;22.0;0;0;0;11.0;0;0;0;2.33;0;0;0
2017-03-16;0.55;0;0;0;0.4;0;0;0;1.04;0;0;0;33.0;0;0;0;24.0;0;0;0;27.0;0;0;0;21.0;0;0;0;16.0;0;0;0;2.67;0;0;0
2017-03-17;0.39;0;0;0;0.17;0;0;0;0.31;0;0;0;22.0;0;0;0;6.0;0;0;0;46.0;0;0;0;23.0;0;0;0;6.0;0;0;0;1.13;0;0;0
2017-03-18;0.1;0;0;0;0.15;0;0;0;0.12;0;0;0;13.0;0;0;0;3.0;0;0;0;50.0;0;0;0;19.0;0;0;0;7.0;0;0;0;0.74;0;0;0
2017-03-19;0.27;0;0;0;0.25;0;0;0;0.21;0;0;0;16.0;0;0;0;3.0;0;0;0;39.0;0;0;0;26.0;0;0;0;12.0;0;0;0;0.77;0;0;0
2017-03-20;0.49;0;0;0;0.23;0;0;0;0.6;0;0;0;25.0;0;0;0;9.0;0;0;0;33.0;0;0;0;23.0;0;0;0;9.0;0;0;0;2.18;0;0;0
